Reaction	Complexes
MALt4	BSU31580-MONOMER
MAN6PI	BSU12020-MONOMER OR BSU35790-MONOMER
MANpts	CPLX_MANpts-0
MANt2	BSU10520-MONOMER
MCA	BSU24130-MONOMER
MCITL2	BSU24120-MONOMER
MCITS	BSU24140-MONOMER
MCSNAH	BSU00180-MONOMER
MDH	BSU29120-MONOMER
MDRPD	BSU13610-MONOMER
ME2	BSU29220-MONOMER
MECDPDH2	BSU25070-MONOMER
MECDPS	BSU00910-MONOMER
MEPCT	BSU00900-MONOMER
METAT	BSU30550-MONOMER
METDabc	CPLX_METDabc-0 OR CPLX_METDabc-1
METS	BSU13180-MONOMER
METSR_R1	BSU21680-MONOMER
METSR_R2	BSU21680-MONOMER
METSR_S1	BSU21690-MONOMER
METSR_S2	BSU21690-MONOMER
METSRabc	CPLX_METDabc-1 OR CPLX_METDabc-0
METSabc	CPLX_METDabc-1 OR CPLX_METDabc-0
METTRS	BSU00380-MONOMER
METabc	CPLX_METDabc-1 OR CPLX_METDabc-0
MGSA	BSU22480-MONOMER
MGt5	BSU13300-MONOMER OR BSU08000-MONOMER OR BSU24740-MONOMER
MI1PP	BSU14670-MONOMER
MLTG1	BSU34560-MONOMER
MLTG2	BSU34560-MONOMER
MLTG3	BSU34560-MONOMER
MLTG4	BSU34560-MONOMER
MLTG5	BSU34560-MONOMER
MLTG6	BSU34560-MONOMER
MLTG7	BSU34560-MONOMER
MMSAD1	BSU39760-MONOMER
MMSAD2	BSU39760-MONOMER
MMSAD3	BSU39760-MONOMER
MMSDHir	BSU39760-MONOMER
MNLpts	CPLX_MNLpts-0
MNNH	BSU12340-MONOMER
MNabc	CPLX_MNabc-0
MNt2	BSU04360-MONOMER
MOBDabc	CPLX_MOBDabc-0
MOHMT	BSU22430-MONOMER
MOPSabc	CPLX_BUTSabc-0
MPL	BSU34570-MONOMER
MSO3abc	CPLX_BUTSabc-0
MTAN	BSU27270-MONOMER
MTHFC	BSU24310-MONOMER
MTHFD	BSU24310-MONOMER
MTHFR3	BSU11010-MONOMER
MTRI	BSU13550-MONOMER
MTRK	BSU13560-MONOMER
NADH4	BSU32200-MONOMER OR BSU12290-MONOMER OR BSU32100-MONOMER
NADK	BSU11610-MONOMER
NADK1	BSU11610-MONOMER
NADK2	BSU11610-MONOMER
NADK3	BSU11610-MONOMER
NADK4	BSU11610-MONOMER
NADK5	BSU11610-MONOMER
NADS1	BSU03130-MONOMER
NAPRT	BSU31750-MONOMER
NAabcO	CPLX_NAabcO-0
NAt3_1	BSU31600-MONOMER OR BSU09850-MONOMER OR BSU31610-MONOMER OR BSU31620-MONOMER OR BSU31630-MONOMER OR BSU31640-MONOMER OR BSU31650-MONOMER OR BSU31660-MONOMER OR BSU09680-MONOMER OR BSU33420-MONOMER OR BSU11640-MONOMER
NDPK1	BSU22730-MONOMER
NDPK2	BSU22730-MONOMER
NDPK3	BSU22730-MONOMER
NDPK4	BSU22730-MONOMER
NDPK5	BSU22730-MONOMER
NDPK6	BSU22730-MONOMER
NDPK7	BSU22730-MONOMER
NDPK8	BSU22730-MONOMER
NDPK9	BSU22730-MONOMER
NH4t	BSU36510-MONOMER
NMNAT	BSU25640-MONOMER
NNAM	BSU31760-MONOMER
NNATr	BSU25640-MONOMER
NNDPR	BSU27860-MONOMER
NO2t2r	BSU38060-MONOMER
NO2t3	BSU37320-MONOMER OR BSU38060-MONOMER
NO3t2	BSU03330-MONOMER
NPHS	BSU30800-MONOMER
NTD1	BSU07840-MONOMER
NTD10	BSU07840-MONOMER
NTD2	BSU07840-MONOMER
NTD3	BSU07840-MONOMER
NTD4	BSU07840-MONOMER
NTD5	BSU07840-MONOMER
NTD6	BSU07840-MONOMER
NTD7	BSU07840-MONOMER
NTD8	BSU07840-MONOMER
NTD9	BSU07840-MONOMER
NTR3B	CPLX_NTR3B-0 OR CPLX_NTR3B-1
NTRIR2x	CPLX_NTRIR2x-0
OCBT_1	BSU11250-MONOMER
OCOAT1	CPLX_OCOAT1-0
OIVD1r	CPLX_OIVD1r-0
OIVD2	CPLX_OIVD1r-0
OIVD3	CPLX_OIVD1r-0
OMPDC	BSU15550-MONOMER
ORNTAC_1	BSU11200-MONOMER
ORNTA_1	BSU40340-MONOMER
ORNt2	BSU33330-MONOMER
ORPT	BSU15560-MONOMER
OXADC	BSU33240-MONOMER OR BSU18670-MONOMER
OXGDC	BSU30820-MONOMER
P5CD	BSU37780-MONOMER
P5CR	BSU12910-MONOMER OR BSU18480-MONOMER OR BSU23800-MONOMER
PANTS	BSU22420-MONOMER
PAPPT3	BSU15190-MONOMER
PAPSR	BSU15570-MONOMER
PBUTT	BSU24090-MONOMER OR BSU37660-MONOMER
PC	BSU14860-MONOMER
PDH	CPLX_PDH-0
PENCAC	BSU39540-MONOMER
PFK	BSU29190-MONOMER
PFK_2	BSU29190-MONOMER
PGAMT	BSU01770-MONOMER
PGCD	BSU23070-MONOMER
PGI	BSU31350-MONOMER
PGK	BSU33930-MONOMER
PGLYCP	BSU09240-MONOMER
PGM	BSU33910-MONOMER
PGMT	BSU01770-MONOMER
PGMT_B	BSU34550-MONOMER
PHCYT_BS	BSU16540-MONOMER
PHETA1	BSU22620-MONOMER OR BSU34890-MONOMER
PHYT3	BSU19800-MONOMER
PIabc	CPLX_PIabc-0
PIt2r	BSU12840-MONOMER
PIt7	BSU25420-MONOMER
PMANM	BSU09310-MONOMER
PMPK	BSU38020-MONOMER OR BSU11710-MONOMER
PNP	BSU23490-MONOMER OR BSU19630-MONOMER
PNTEH	BSU03010-MONOMER
PNTK	BSU23760-MONOMER
PNTOt2	BSU38240-MONOMER
PPA	BSU40550-MONOMER
PPAKr	BSU29470-MONOMER
PPBNGS	BSU28130-MONOMER
PPCDC	BSU15700-MONOMER
PPCK	BSU30560-MONOMER
PPCOAC	BSU23920-MONOMER OR BSU18210-MONOMER
PPM	BSU23500-MONOMER
PPM2	BSU23500-MONOMER
PPNCL	BSU15700-MONOMER
PPND	BSU22610-MONOMER
PPNDH	BSU27900-MONOMER
PPPGO	BSU10140-MONOMER
PPS	BSU18830-MONOMER
PRAGSr	BSU06530-MONOMER
PRAIS_1	BSU06500-MONOMER
PRAIi	BSU22650-MONOMER
PRAMPC_1	BSU34860-MONOMER
PRASCSi	BSU06450-MONOMER
PRATPP	BSU34860-MONOMER
PRFGS_1	CPLX_PRFGS_1-0
PRMICI	BSU34880-MONOMER
PRO1x	BSU03200-MONOMER
PROLBabc	CPLX_ARSENBabc-1 OR CPLX_ARSENBabc-0
PROt2r	BSU06660-MONOMER OR BSU30530-MONOMER OR BSU03220-MONOMER OR BSU19580-MONOMER
PRPPS	BSU00510-MONOMER
PSCVT	BSU22600-MONOMER
PSDC_BS	BSU02290-MONOMER
PSERT	BSU10020-MONOMER
PSP_D	BSU04740-MONOMER
PSP_L	BSU04740-MONOMER
PTA2	BSU37660-MONOMER
PTAr	BSU37660-MONOMER
PTHPS	BSU13730-MONOMER
PTPATi	BSU15020-MONOMER
PUNP1	BSU23490-MONOMER OR BSU19630-MONOMER
PUNP2	BSU19630-MONOMER OR BSU23490-MONOMER
PUNP3	BSU23490-MONOMER OR BSU19630-MONOMER
PUNP4	BSU19630-MONOMER OR BSU23490-MONOMER
PUNP5	BSU23490-MONOMER OR BSU19630-MONOMER
PUNP6	BSU19630-MONOMER OR BSU23490-MONOMER
PUNP7	BSU23490-MONOMER OR BSU19630-MONOMER
PUNP8	BSU23490-MONOMER OR BSU19630-MONOMER
PURabc1	BSU03070-MONOMER
PYK	BSU29180-MONOMER
PYNP1	BSU39400-MONOMER
PYNP2r	BSU39400-MONOMER
PYRIS	CPLX_PYRIS-0
Q23DO	BSU39980-MONOMER
QULNS	BSU27850-MONOMER
RAFH	BSU38040-MONOMER
RBFK	BSU29300-MONOMER OR BSU16670-MONOMER
RBFSa	CPLX_RBFSa-0
RBFSb	CPLX_RBFSa-0
RBK	BSU35920-MONOMER
RBK_Dr	BSU28790-MONOMER
RBK_L1	BSU28790-MONOMER
RBP4E	BSU28780-MONOMER
RIBabc	CPLX_DRIBabc-0
RIBabc1	CPLX_DRIBabc-0
RMI	BSU31180-MONOMER
RMK	BSU31200-MONOMER
RNDR1	CPLX_RNDR1-0
RNDR2	CPLX_RNDR1-0
RNDR3	CPLX_RNDR1-0
RNDR4	CPLX_RNDR1-0
RPE	BSU15790-MONOMER
RPI	BSU36920-MONOMER
S6PG	BSU38560-MONOMER OR BSU40110-MONOMER
SADT	BSU15590-MONOMER
SALCpts	CPLX_ARBTpts-0
SARCOX	BSU11670-MONOMER
SBTD_D2	BSU06150-MONOMER
SBTt2	BSU06160-MONOMER
SDPDS	BSU19710-MONOMER
SERAT	BSU00930-MONOMER
SERD_D	BSU23770-MONOMER
SERD_L	CPLX_SERD_L-0
SHCHD2_1	BSU15630-MONOMER
SHCHF_2	BSU15620-MONOMER
SHK3Dr	BSU25660-MONOMER
SHKK	BSU03150-MONOMER
SHSL1	BSU11870-MONOMER
SHSL2	BSU11870-MONOMER
SHSL3	BSU11870-MONOMER
SHSL4r	BSU11870-MONOMER
SLCYSS	BSU00730-MONOMER OR BSU11870-MONOMER
SO4t2	BSU01580-MONOMER OR BSU15580-MONOMER OR BSU34660-MONOMER
SPMDAT1	BSU26600-MONOMER
SPMDAT3	BSU26600-MONOMER
SPMDt3i	BSU26590-MONOMER
SPMS	BSU37500-MONOMER
SPODM	BSU25020-MONOMER
SPRMS	BSU37500-MONOMER
SSALy	BSU03910-MONOMER
SUCBZL	BSU30790-MONOMER
SUCBZS	BSU30780-MONOMER
SUCCt2r	BSU07570-MONOMER OR BSU04470-MONOMER
SUCD1	CPLX_SUCD1-0
SUCD5_BS	CPLX_SUCD1-0
SUCOAS	CPLX_SUCOAS-0
SUCR	BSU34560-MONOMER
SUCpts	CPLX_SUCpts-0 OR CPLX_SUCpts-1
SULAabc	CPLX_BUTSabc-0
SULR_1	BSU33430-MONOMER OR BSU33440-MONOMER
TAGURr	BSU12380-MONOMER
TALA	BSU37110-MONOMER
TARTDC	BSU04000-MONOMER
TARTRDH	BSU04000-MONOMER
TARTRDH2	BSU04000-MONOMER
TAURabc	CPLX_BUTSabc-0
TECA1S45	CPLX_TECA1S45-0
TECA2S45	CPLX_TECA2S45-0
TECA3S45	CPLX_TECA3S45-0
TECA4S_BS	BSU35680-MONOMER
TEICH45	CPLX_TEICH45-0
THMDt2	BSU39020-MONOMER OR BSU39410-MONOMER OR BSU32180-MONOMER
THRD	BSU16990-MONOMER
THRD_L	BSU21770-MONOMER
THRS	BSU32250-MONOMER
TKT1	BSU17890-MONOMER
TKT2	BSU17890-MONOMER
TMDK1	BSU37060-MONOMER
TMDPP	BSU39400-MONOMER
TMDS	BSU17680-MONOMER OR BSU21820-MONOMER
TMN	BSU11650-MONOMER
TMPK	BSU05900-MONOMER
TMPPP	BSU38290-MONOMER
TPI	BSU33920-MONOMER
TRDR	BSU34790-MONOMER OR BSU32110-MONOMER OR BSU03270-MONOMER
TRE6PH	BSU07810-MONOMER
TREpts	CPLX_TREpts-0
TRPAS1	BSU27250-MONOMER
TRPS1	CPLX_TRPS1-0
TRPt2r	BSU10010-MONOMER
TYRTA	BSU22620-MONOMER OR BSU34890-MONOMER
UAAGDS	BSU15180-MONOMER
UAG2E	BSU35660-MONOMER
UAG2EMA	BSU35660-MONOMER
UAG4E	BSU30870-MONOMER OR BSU38860-MONOMER
UAGCVT	BSU36760-MONOMER OR BSU37100-MONOMER
UAGDP	BSU00500-MONOMER
UAGPT3	BSU15220-MONOMER
UAMAGS	BSU15200-MONOMER
UAMAS	BSU29790-MONOMER
UAPGR	BSU15230-MONOMER
UDCPDP	BSU31150-MONOMER
UDPG4E	BSU38860-MONOMER
UDPGD	BSU35580-MONOMER
UGMDDS	BSU04570-MONOMER
UGT1_BS	BSU21920-MONOMER
UGT2_BS	BSU21920-MONOMER
UGT_BS	BSU21920-MONOMER
UMPK	BSU22890-MONOMER OR BSU16510-MONOMER
UNK5	BSU13580-MONOMER
UPP3MT_2	BSU03280-MONOMER OR BSU15610-MONOMER
UPP3S	BSU28140-MONOMER
UPPDC1	BSU10120-MONOMER
UPPRT	BSU36890-MONOMER
URATEt_1	BSU32440-MONOMER OR BSU32430-MONOMER
URAt2	BSU15480-MONOMER OR BSU36470-MONOMER
URCN	BSU39360-MONOMER
UREA	CPLX_UREA-0
URIC	BSU32450-MONOMER OR BSU32460-MONOMER
URIDK2r_copy1	BSU22890-MONOMER OR BSU16510-MONOMER
URIDK2r_copy2	BSU00280-MONOMER
URIK1	BSU27330-MONOMER
URIK2	BSU27330-MONOMER
URIK3	BSU27330-MONOMER
URIt2	BSU39410-MONOMER OR BSU32180-MONOMER OR BSU39020-MONOMER
VALDHr	BSU24080-MONOMER
VALTA	BSU38550-MONOMER OR BSU02390-MONOMER
VALt2r	BSU26690-MONOMER OR CPLX_ILEt2r-0 OR BSU29600-MONOMER
XAND	BSU32500-MONOMER OR BSU32470-MONOMER OR BSU32490-MONOMER OR BSU32510-MONOMER OR BSU32480-MONOMER
XANt2	BSU22060-MONOMER
XPPT	BSU22070-MONOMER
XTSNt2	BSU38710-MONOMER
XYL14BASE	BSU28510-MONOMER
XYLI1	BSU17600-MONOMER
XYLI2	BSU17600-MONOMER
XYLK	BSU17610-MONOMER
XYLt2	BSU33960-MONOMER
ZN2t4	BSU26650-MONOMER
ZNabc	CPLX_ZNabc-0
